id,user_id,experiment_id,scenario_type,event_type,event_state,event_datetime
0,"FDI_AC","","T2_BasicEmergency","00001","Completed","2025-2-17 18:46:58.780"
1,"FDI_AC","","T2_BasicEmergency","T2001","Started","2025-2-17 18:47:12.191"
2,"FDI_AC","","T2_BasicEmergency","T2003","Completed","2025-2-17 18:47:12.629"
3,"FDI_AC","","T2_BasicEmergency","T2004","Started","2025-2-17 18:47:12.679"
4,"FDI_AC","","T2_BasicEmergency","T2004","Completed","2025-2-17 18:47:12.799"
5,"FDI_AC","","T2_BasicEmergency","T2005","Started","2025-2-17 18:47:12.849"
6,"FDI_AC","","T2_BasicEmergency","T2005","Completed","2025-2-17 18:47:12.935"
7,"FDI_AC","","T2_BasicEmergency","T2005","Completed","2025-2-17 18:47:13.58"
8,"FDI_AC","","T2_BasicEmergency","T2005","Completed","2025-2-17 18:47:13.201"
9,"FDI_AC","","T2_BasicEmergency","T2005","Completed","2025-2-17 18:47:13.347"
10,"FDI_AC","","T2_BasicEmergency","T2005","Completed","2025-2-17 18:47:13.493"
11,"FDI_AC","","T2_BasicEmergency","T2005","Completed","2025-2-17 18:47:13.620"
12,"FDI_AC","","T2_BasicEmergency","T2005","Completed","2025-2-17 18:47:13.765"
13,"FDI_AC","","T2_BasicEmergency","T2005","Completed","2025-2-17 18:47:13.891"
14,"FDI_AC","","T2_BasicEmergency","00002","Completed","2025-2-17 18:47:33.391"
