id,user_id,experiment_id,scenario_type,move_type,start_datetime,end_datetime,start_position,end_position,distance
0,"FDI_AC","","T2_BasicEmergency","real_life","1-1-1 0:0:0.0","2025-2-17 18:46:57.222","(0.0;0.0;0.0)","(25.694912;-18.590208;0.0)","0.317147"
1,"FDI_AC","","T2_BasicEmergency","real_life","2025-2-17 18:46:57.238","2025-2-17 18:47:12.246","(25.694912;-18.590208;0.0)","(-2090.0;170.0;10.0)","21.241072"
2,"FDI_AC","","T2_BasicEmergency","virtual_reality","2025-2-17 18:47:19.165","2025-2-17 18:47:19.263","(-955.859375;12084.719727;5.0)","(-664.917236;12122.625977;5.0)","2.934011"
3,"FDI_AC","","T2_BasicEmergency","virtual_reality","2025-2-17 18:47:19.497","2025-2-17 18:47:19.619","(-665.022644;12123.080078;5.0)","(-440.0;12151.204102;5.0)","2.267734"
4,"FDI_AC","","T2_BasicEmergency","real_life","2025-2-17 18:47:12.276","2025-2-17 18:47:20.491","(0.0;0.0;0.0)","(-25.475105;0.558702;0.0)","0.254812"
5,"FDI_AC","","T2_BasicEmergency","real_life","2025-2-17 18:47:20.516","2025-2-17 18:47:20.995","(-25.475105;0.558702;0.0)","(-49.388008;1.324858;0.0)","0.239252"
6,"FDI_AC","","T2_BasicEmergency","virtual_reality","2025-2-17 18:47:21.212","2025-2-17 18:47:21.354","(-386.591248;12149.824219;5.0)","(-78.184013;12142.223633;5.0)","3.085009"
7,"FDI_AC","","T2_BasicEmergency","virtual_reality","2025-2-17 18:47:21.774","2025-2-17 18:47:21.880","(-93.091347;12142.666992;5.0)","(357.720947;12167.666016;5.0)","4.515049"
8,"FDI_AC","","T2_BasicEmergency","real_life","2025-2-17 18:47:21.19","2025-2-17 18:47:22.33","(0.0;0.0;0.0)","(10.390082;-0.577727;0.0)","0.104061"
9,"FDI_AC","","T2_BasicEmergency","virtual_reality","2025-2-17 18:47:22.4","2025-2-17 18:47:22.106","(353.086639;12168.070312;5.0)","(793.770935;12192.004883;5.0)","4.413338"
10,"FDI_AC","","T2_BasicEmergency","virtual_reality","2025-2-17 18:47:22.241","2025-2-17 18:47:22.324","(787.459473;12191.516602;5.0)","(1252.473267;12196.294922;5.0)","4.650383"
11,"FDI_AC","","T2_BasicEmergency","virtual_reality","2025-2-17 18:47:22.476","2025-2-17 18:47:22.573","(1246.494751;12194.004883;5.0)","(1682.046143;12279.068359;5.0)","4.437802"
12,"FDI_AC","","T2_BasicEmergency","virtual_reality","2025-2-17 18:47:22.713","2025-2-17 18:47:22.796","(1681.580688;12278.47168;5.0)","(2170.553955;12351.155273;5.0)","4.943459"
13,"FDI_AC","","T2_BasicEmergency","virtual_reality","2025-2-17 18:47:22.922","2025-2-17 18:47:23.46","(2170.795654;12351.098633;5.0)","(2665.787354;12359.823242;5.0)","4.950686"
14,"FDI_AC","","T2_BasicEmergency","virtual_reality","2025-2-17 18:47:23.189","2025-2-17 18:47:23.293","(2665.929688;12359.869141;5.0)","(3160.248779;12334.992188;5.0)","4.949444"
15,"FDI_AC","","T2_BasicEmergency","virtual_reality","2025-2-17 18:47:23.464","2025-2-17 18:47:23.585","(3160.32959;12334.987305;5.0)","(3639.060303;12306.796875;5.0)","4.7956"
16,"FDI_AC","","T2_BasicEmergency","virtual_reality","2025-2-17 18:47:23.754","2025-2-17 18:47:23.899","(3639.085938;12306.647461;5.0)","(4062.585205;12287.921875;5.0)","4.239132"
17,"FDI_AC","","T2_BasicEmergency","real_life","2025-2-17 18:47:22.57","2025-2-17 18:47:24.679","(0.0;0.0;0.0)","(-11.687268;5.23655;0.0)","0.128068"
