id,user_id,experiment_id,scenario_type,dose_rate,dose_absortion,event_position,event_datetime
0,"FDI_AC","","T2_BasicEmergency","[0.190051;0.187463;0.187467;0.187467;0.187467;0.187467;0.187467;0.187467;0.187467;0.187467;]","[0.0;0.000043;0.00009;0.000119;0.000146;0.000175;0.000202;0.00023;0.000258;0.000285;]","[(-3040.0;12260.0);(-3065.694824;12278.589844);(-3065.694824;12278.589844);(-3065.694824;12278.589844);(-3065.694824;12278.589844);(-3065.694824;12278.589844);(-3065.694824;12278.589844);(-3065.694824;12278.589844);(-3065.694824;12278.589844);(-3065.694824;12278.589844);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
1,"FDI_AC","","T2_BasicEmergency","[0.187467;0.187467;0.187467;0.187467;0.187467;0.187467;0.187467;0.187467;0.187467;0.187467;]","[0.000314;0.000341;0.000369;0.000396;0.000424;0.000451;0.000479;0.000506;0.000534;0.000561;]","[(-3065.694824;12278.589844);(-3065.694824;12278.589844);(-3065.694824;12278.589844);(-3065.694824;12278.589844);(-3065.694824;12278.589844);(-3065.694824;12278.589844);(-3065.694824;12278.589844);(-3065.694824;12278.589844);(-3065.694824;12278.589844);(-3065.694824;12278.589844);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
2,"FDI_AC","","T2_BasicEmergency","[0.187467;0.187467;0.187467;0.187467;0.187467;0.187467;0.187467;0.187467;0.187467;0.187467;]","[0.000589;0.000617;0.000645;0.000672;0.0007;0.000727;0.000754;0.000782;0.000809;0.000837;]","[(-3065.694824;12278.589844);(-3065.694824;12278.589844);(-3065.694824;12278.589844);(-3065.694824;12278.589844);(-3065.694824;12278.589844);(-3065.694824;12278.589844);(-3065.694824;12278.589844);(-3065.694824;12278.589844);(-3065.694824;12278.589844);(-3065.694824;12278.589844);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
3,"FDI_AC","","T2_BasicEmergency","[0.187467;0.889749;0.889749;0.889749;0.889749;0.889749;0.889749;0.889749;0.889749;0.896802;]","[0.000865;0.000908;0.001036;0.001168;0.001323;0.001462;0.001593;0.001723;0.001854;0.001996;]","[(-3065.694824;12278.589844);(-950.0;12090.0);(-950.0;12090.0);(-950.0;12090.0);(-950.0;12090.0);(-950.0;12090.0);(-950.0;12090.0);(-950.0;12090.0);(-950.0;12090.0);(-943.101746;12083.619141);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
4,"FDI_AC","","T2_BasicEmergency","[0.895347;0.893869;0.891915;0.884497;0.883686;1.252754;1.732809;1.788536;1.857714;3.28406;]","[0.002163;0.002297;0.002437;0.002571;0.002701;0.002863;0.003106;0.003362;0.003632;0.003983;]","[(-944.58728;12082.676758);(-946.057312;12083.161133);(-948.041687;12082.606445);(-955.522095;12084.323242);(-956.340576;12084.670898);(-664.938293;12123.082031);(-434.838654;12151.086914);(-414.524902;12150.645508);(-390.612;12149.879883);(-80.698036;12142.013672);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
5,"FDI_AC","","T2_BasicEmergency","[10.616237;3.828438;0.847318;0.367384;0.277751;0.275909;0.274982;0.274982;0.274982;0.274982;]","[0.004915;0.012518;0.01288;0.012985;0.013038;0.01308;0.013121;0.013162;0.013202;0.013241;]","[(347.330872;12168.243164);(1681.754395;12278.811523);(2665.796631;12359.81543);(3639.03833;12306.790039);(4063.088867;12287.794922);(4074.272461;12282.68457);(4079.970703;12279.619141);(4079.970703;12279.619141);(4079.970703;12279.619141);(4079.970703;12279.619141);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
6,"FDI_AC","","T2_BasicEmergency","[0.274982;0.274982;0.274982;0.274982;0.274982;0.274982;0.274982;0.274982;0.274982;0.274982;]","[0.013282;0.013322;0.013362;0.013402;0.013442;0.013483;0.013522;0.013562;0.013602;0.013642;]","[(4079.970703;12279.619141);(4079.970703;12279.619141);(4079.970703;12279.619141);(4079.970703;12279.619141);(4079.970703;12279.619141);(4079.970703;12279.619141);(4079.970703;12279.619141);(4079.970703;12279.619141);(4079.970703;12279.619141);(4079.970703;12279.619141);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
