id,user_id,experiment_id,scenario_type,input_type,input_state,hand,hand_location,hand_rotation,event_datetime
0,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","started","Right","(13.638681;22.617422;10.106346)","(-7.645022;71.816765;-8.843498)","2025-2-17 18:47:53.688"
1,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","completed","Right","(13.889069;22.817986;9.898918)","(-27.667587;73.539299;-22.945812)","2025-2-17 18:47:53.821"
2,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","started","Right","(13.573732;23.053196;9.462975)","(-43.107624;78.261002;-37.769798)","2025-2-17 18:47:54.51"
3,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","completed","Right","(14.006741;22.783123;9.2108)","(-52.774078;73.418068;-43.737118)","2025-2-17 18:47:54.181"
4,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","started","Right","(13.361897;22.597715;9.413483)","(-47.289246;73.850296;-44.490612)","2025-2-17 18:47:54.442"
5,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","completed","Right","(13.789206;22.623432;9.519547)","(-43.450375;70.309525;-39.991909)","2025-2-17 18:47:54.598"
6,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","started","Right","(3.793514;23.045822;7.203003)","(-62.582153;47.870758;-55.407726)","2025-2-17 18:47:56.124"
7,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","completed","Right","(3.624981;22.036263;7.969269)","(-56.769962;44.887962;-47.570168)","2025-2-17 18:47:56.273"
8,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","started","Right","(6.508844;27.880136;0.153244)","(26.205729;-5.501945;-113.271622)","2025-2-17 18:47:57.655"
9,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","completed","Right","(5.362019;25.752321;0.64856)","(18.775352;-6.278841;-113.501076)","2025-2-17 18:47:57.796"
10,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","started","Right","(0.108444;34.997852;5.183746)","(-73.176163;-38.247402;-48.065285)","2025-2-17 18:47:58.669"
11,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","completed","Right","(1.311698;33.708206;3.844482)","(-76.185661;-40.458248;-42.474316)","2025-2-17 18:47:58.805"
12,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","started","Right","(0.327491;26.470295;0.138641)","(-42.555313;-26.163761;-84.444923)","2025-2-17 18:47:59.376"
13,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","completed","Right","(1.673474;28.163418;0.115891)","(-47.565945;-30.31867;-80.408791)","2025-2-17 18:47:59.602"
14,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","started","Right","(1.992367;27.575039;3.961609)","(-24.45389;-6.142288;-92.26429)","2025-2-17 18:48:1.967"
15,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","completed","Right","(0.65852;27.535042;4.822655)","(-30.981171;-13.559844;-92.703751)","2025-2-17 18:48:2.220"
16,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","started","Right","(0.633953;26.539953;5.808388)","(-31.260622;-7.742903;-96.333847)","2025-2-17 18:48:2.778"
17,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","completed","Right","(0.403278;25.837379;6.786942)","(-28.784443;-7.226964;-99.506721)","2025-2-17 18:48:3.98"
18,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","started","Right","(3.725378;21.908722;0.110924)","(-41.978878;66.776184;-43.401943)","2025-2-17 18:48:5.546"
19,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","completed","Right","(4.314737;21.476334;0.592438)","(-37.705734;63.560719;-43.31522)","2025-2-17 18:48:5.677"
20,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","started","Right","(0.914085;21.511852;1.900711)","(-50.126514;65.908783;-49.058243)","2025-2-17 18:48:6.129"
21,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","completed","Right","(0.119267;21.451908;1.87188)","(-58.301037;65.23806;-57.114902)","2025-2-17 18:48:6.234"
22,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","started","Right","(3.467712;20.973177;4.057495)","(-66.432076;65.448402;-66.209961)","2025-2-17 18:48:6.420"
23,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","completed","Right","(6.154829;20.97481;4.307808)","(-65.785751;67.18457;-62.943001)","2025-2-17 18:48:6.526"
24,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","started","Right","(8.255259;20.64979;5.972237)","(-77.826271;66.731392;-78.308716)","2025-2-17 18:48:6.735"
25,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","completed","Right","(9.950172;20.643108;5.983238)","(-79.015877;63.309181;-79.084015)","2025-2-17 18:48:6.786"
26,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","started","Right","(16.948229;21.394341;4.966286)","(-73.125839;51.824741;-89.856049)","2025-2-17 18:48:7.336"
27,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","completed","Right","(18.595284;21.103136;5.174675)","(-70.271172;48.093319;-87.980568)","2025-2-17 18:48:7.440"
28,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","started","Right","(18.71697;21.384495;3.257378)","(-73.605194;46.252823;-85.938644)","2025-2-17 18:48:7.670"
29,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","completed","Right","(17.955105;22.281118;0.311172)","(-68.291;37.334335;-78.934715)","2025-2-17 18:48:7.796"
30,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","started","Right","(15.638084;25.969769;0.974792)","(-68.381302;26.421604;-78.609825)","2025-2-17 18:48:8.58"
31,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","completed","Right","(15.36755;26.216743;1.241951)","(-63.458748;26.81744;-70.712761)","2025-2-17 18:48:8.189"
32,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","started","Right","(11.265289;28.706673;1.895332)","(-54.393597;8.160794;-81.622566)","2025-2-17 18:48:8.672"
33,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","completed","Right","(9.945033;28.916508;2.225273)","(-49.141949;-2.090724;-81.260712)","2025-2-17 18:48:8.797"
34,"FDI_AC","","S2_BasicEmergency","IA_Move_Right","started","Right","(14.088375;25.200966;1.738358)","(-67.356323;7.691432;-75.586784)","2025-2-17 18:48:9.980"
