id,user_id,experiment_id,scenario_type,actor_id,conversation_index,event_type,event_datetime
0,"FDI_AC","","S2_BasicEmergency","6","0","start_talk_with_npc","2025-2-17 18:48:12.506"
1,"FDI_AC","","S2_BasicEmergency","6","0","stop_talk_with_npc","2025-2-17 18:48:15.54"
