id,user_id,experiment_id,scenario_type,event_type,event_state,event_datetime
0,"FDI_AC","","S1_BasicMechanics","00001","Completed","2025-2-17 18:46:43.361"
1,"FDI_AC","","S1_BasicMechanics","S1001","Completed","2025-2-17 18:46:54.702"
2,"FDI_AC","","S1_BasicMechanics","S1002","Started","2025-2-17 18:46:54.716"
3,"FDI_AC","","S1_BasicMechanics","S1002","Started","2025-2-17 18:46:54.731"
4,"FDI_AC","","S1_BasicMechanics","S1002","Completed","2025-2-17 18:46:54.926"
5,"FDI_AC","","S1_BasicMechanics","S1003","Started","2025-2-17 18:46:54.942"
6,"FDI_AC","","S1_BasicMechanics","S1003","Started","2025-2-17 18:46:54.956"
7,"FDI_AC","","S1_BasicMechanics","S1003","Completed","2025-2-17 18:46:55.95"
8,"FDI_AC","","S1_BasicMechanics","S1004","Started","2025-2-17 18:46:55.110"
9,"FDI_AC","","S1_BasicMechanics","S1004","Started","2025-2-17 18:46:55.124"
10,"FDI_AC","","S1_BasicMechanics","S1001","Started","2025-2-17 18:46:55.188"
11,"FDI_AC","","S1_BasicMechanics","S1004","Completed","2025-2-17 18:46:55.237"
12,"FDI_AC","","S1_BasicMechanics","S1005","Started","2025-2-17 18:46:55.251"
13,"FDI_AC","","S1_BasicMechanics","S1005","Started","2025-2-17 18:46:55.266"
14,"FDI_AC","","S1_BasicMechanics","S1005","Completed","2025-2-17 18:46:55.379"
15,"FDI_AC","","S1_BasicMechanics","00002","Completed","2025-2-17 18:46:55.394"
