id,user_id,experiment_id,scenario_type,event_type,event_state,event_datetime
0,"FDI_AN","","T1_BasicMechanics","00001","Completed","2025-2-11 15:25:18.696"
1,"FDI_AN","","T1_BasicMechanics","T1001","Started","2025-2-11 15:25:36.334"
